1,SIL,171,26.6,41.5/11.4,0.95,20.2,9.40,254,376,5.00
2,CASTROLIND,"12,878",130,135/99.0,15.9,18.1,2.30,67.5,49.6,5.00
3,ANDHRAPET,640,75.3,138/72.0,7.04,59.4,3.98,63.5,56.1,10.0
4,MANALIPETC,"1,383",80.4,150/79.3,5.96,57.6,3.11,63.0,47.1,5.00
5,BEPL,"1,799",108,182/98.0,7.58,62.4,2.77,56.8,42.1,1.00
6,GPIL,"3,839",272,498/223,3.37,257,3.58,55.6,52.1,5.00
7,COALINDIA,"1,41,465",230,263/139,5.41,91.5,7.41,54.3,43.6,10.0
8,ANANDRATHI,"2,929",703,739/542,19.6,96.3,1.57,50.5,43.3,5.00
9,SWARAJENG,"1,914","1,576","1,962/1,292",16.3,234,5.08,49.7,37.0,10.0
10,INEOSSTYRO,"1,397",794,"1,644/706",5.44,445,13.2,47.6,37.0,10.0
11,TINPLATE,"3,262",312,443/252,12.6,112,1.28,46.8,34.9,10.0
12,ABSLAMC,"12,309",427,606/375,19.2,81.2,2.68,44.8,34.5,5.00
13,SHYAMMETL,"7,570",297,386/273,5.50,268,2.43,44.0,36.2,10.0
14,SONATSOFTW,"7,357",525,705/458,17.6,82.8,3.00,43.7,37.2,1.00
15,GLS,"5,169",422,648/370,12.4,175,4.98,42.2,29.9,2.00
16,SHARDAMOTR,"2,391",804,955/577,13.1,218,1.01,40.4,28.4,2.00
17,SMLT,174,127,169/78.5,6.22,67.9,1.57,40.1,38.8,10.0
18,AMBIKCO,892,"1,558","2,830/1,324",5.39,"1,383",2.25,38.2,27.9,10.0
19,HINDZINC,"1,36,647",323,372/242,12.0,74.0,11.3,37.3,28.8,2.00
20,NMDC,"32,559",111,136/77.1,5.23,69.1,13.3,37.1,29.1,1.00
21,OFSS,"26,563","3,075","4,414/2,883",14.7,745,6.18,36.0,27.1,5.00
22,TIRUMALCHM,"2,032",198,319/186,7.82,116,1.26,35.4,29.8,1.00
23,IMFA,"1,259",233,514/221,3.03,338,4.29,34.3,33.8,10.0
24,NATIONALUM,"13,499",73.5,133/67.0,5.18,71.1,8.84,34.0,25.4,5.00
25,TNPETRO,796,88.4,134/80.0,6.13,87.6,3.39,33.5,26.2,10.0
26,IGPL,"1,648",535,828/415,5.80,377,1.87,33.2,28.1,10.0
27,GNFC,"8,664",557,912/390,4.36,546,1.79,33.1,24.5,10.0
28,NAHARSPING,984,273,692/270,2.60,445,1.28,32.5,40.0,5.00
